Wall time,Step,Value
1684842470.419946,3,0.16333332657814026
1684842470.4199579,4,0.2224999964237213
1684842470.4200296,10,0.5066666603088379
1684842470.4202719,14,0.6466666460037231
1684842470.4203296,15,0.6783333420753479
1684842470.4205,18,0.6941666603088379
1684842470.4205554,19,0.7133333086967468
1684842470.4206116,20,0.721666693687439
1684842470.4207296,22,0.753333330154419
1684842470.4207869,23,0.7616666555404663
1684842470.4209564,26,0.7716666460037231
1684842470.4210134,27,0.7724999785423279
1684842470.421632,38,0.8116666674613953
1684842470.4217448,40,0.8075000047683716
1684842470.422152,47,0.8125
1684842470.422209,48,0.8149999976158142
1684842470.4222658,49,0.8116666674613953
1684842470.4223783,51,0.8174999952316284
1684842470.4225457,54,0.815833330154419
1684842470.4227133,57,0.8100000023841858
1684842470.422882,60,0.8183333277702332
1684842470.422938,61,0.8258333206176758
1684842470.4229941,62,0.8216666579246521
1684842470.42305,63,0.8224999904632568
1684842470.423163,65,0.8274999856948853
1684842470.42322,66,0.8316666483879089
1684842470.4232762,67,0.8358333110809326
1684842470.423333,68,0.8333333134651184
1684842470.4234455,70,0.8366666436195374
1684842470.4235017,71,0.8391666412353516
1684842470.4238431,77,0.8324999809265137
1684842470.423955,79,0.8333333134651184
1684842470.4241219,82,0.8391666412353516
1684842470.4242911,85,0.8399999737739563
1684842470.424518,89,0.8433333039283752
1684842470.4250822,99,0.8550000190734863
1684842470.4253154,103,0.8483333587646484
1684842470.4254858,106,0.8550000190734863
1684842470.4255424,107,0.8550000190734863
1684842470.4256544,109,0.8550000190734863
1684842470.4260478,116,0.8525000214576721
1684842470.4265194,121,0.8616666793823242
1684842470.4269655,125,0.8608333468437195
1684842470.4270391,126,0.8641666769981384
1684842470.4271834,128,0.8650000095367432
1684842470.4273353,130,0.8575000166893005
1684842470.4277475,136,0.8533333539962769
1684842470.4278157,137,0.8541666865348816
1684842470.4284086,144,0.8533333539962769
1684842470.428535,146,0.8525000214576721
1684842470.4285893,147,0.8525000214576721
1684842470.4287717,150,0.8550000190734863
1684842470.4291277,157,0.8575000166893005
1684842470.4292805,160,0.8583333492279053
1684842470.4293585,162,0.8633333444595337
1684842470.4296308,164,0.8600000143051147
1684842470.42977,170,0.862500011920929
1684842470.4297924,171,0.8608333468437195
